"Product Name","Collection Name","Serial No","Fabric Type","Stock","PO Pending Qty"
"SAMPLE.DECO-4105C00-TAUPE /  SILVER-L-RG2706128","RUGS SAMPLE","19","-","1","0"
"SAMPLE.OMEGA-20521-YR9 B-L-RG2706184","RUGS SAMPLE","75","-","1","0"
"LIGHT XANADU-191-LO6-D-MEDIUM(120X170CMS-RG2704907","RUGS 2021","1428","-","1","300"
"OMEGA-31034-OJ8 X-MEDIUM(120X180CMS)-RG2705317","RUGS 2024","4323","-","1","0"
"CHARM-473281-AK200-DOUBLE XL(240X330CMS)-RG2504438","RUGS 2024","4018","-","1","0"
"DUVET COVER SET P0036-SPECKLE-SKY DOUBLE-MU1300577","ORIGINS","321","-","1","4"
"SAMPLE.DECO-7186C00-DARK  GOLD / BRICH-L-RG2706134","RUGS SAMPLE","25","-","1","0"
"SAMPLE.MINERAL-50507-YT5 H-L-RG2706145","RUGS SAMPLE","36","-","1","0"
"DUVET COVER SET P0039-MELLOW-ASH DOUBLE-MU1300309","ORIGINS","141","-","1","4"
"COMFORTER MOM 108-ORNELLA-SAND-PINE CONE-MU1300134","MOMENTS","134","-","1","4"
"EDEN-2712C00-UZ-TAUPE-LIGHT YELLOW-M-RG2704298","RUGS 2024","4843","-","1","0"
"BED IN A BAG TOB003-MONDE-LINEN DOUBLE 2-MU1301117","LUXE LAYERS","53","-","1","4"
"ATHENA-474333-620-S-RG2504057","SOLACE","5633","-","1","0"
"XANADU-5501-LO6-G-MEDIUM(120X170CMS)-RG2705737","RUGS 2021","1643","-","1","0"
"ORION-475142-902-LARGE(160X230CMS)-RG2705959","RUGS 2022","2907","-","1","0"
"EVA-3110C00-CC-BRICH-BEIGE-S-RG2504791","RUGS 2024","4387","-","1","0"
"CASSIA-5040C00-DARK WHITE-CHARCOAL-S-RG2704252","NOVA","5021","-","1","0"
"SAMPLE.OMEGA-4155-YR9 B-L-RG2706202","RUGS SAMPLE","93","-","1","0"
"SAMPLE.OMEGA-55007-YR9 J-L-RG2706208","RUGS SAMPLE","99","-","1","0"
"CHARM-474233-JD000-DOUBLE XL(240X330CMS)-RG2504635","RUGS 2022","1904","-","1","0"
"DUNE-4153-UW2-E-LARGE(160X230CMS)-RG2704694","RUGS 2022","2178","-","1","0"
"SAMPLE.DECO-3544C00-DARK  GREY / BEIGE-L-RG2706120","RUGS SAMPLE","11","-","1","0"
"CHARM-474210-JD000-EXTRA LARGE(200X290CM-RG2504485","RUGS 2022","2658","-","1","0"
"INK-463018-AF100-SMALL(80X140CMS)-RG2505272","RUGS 2021","1740","-","1","0"
"LINLEY-31037-B8E J-L-RG2705839","RUGS 2024","4874","-","1","0"
"ORBIT-912523-OJ8 E-XXL-RG2506680","NOVA","5265","-","1","0"
"ELDON-912030-SK1 -XXL-RG2505438","SOLACE","5325","-","1","0"
